src_ip_numeric,src_port,dst_port,proto,flowDuration,label
3232268309,50312,443,6,11.7636539936066,0
3232268405,61424,443,17,40.6273980140686,0
3232268303,63346,53,17,0.0009300708770751,0
3232268037,62520,443,6,2.96087503433228,0
3232266590,57129,3128,6,0.874342918395996,1
3232266857,65039,53,17,0.0587160587310791,0
3232268291,21559,53,17,0.0005240440368652,0
3232267696,46728,53,17,0.0006849765777587,0
3232268074,62502,19302,17,30.2682709693909,0
3232267585,49948,3128,6,189.23589682579,1
3232266804,54912,443,6,0.0001871585845947,0
3232266800,58425,3128,6,679.145280838013,1
3232268090,61648,443,6,0.406919956207275,0
3232266500,31094,53,17,0.0,0
3232268045,52387,443,6,0.0,0
3232268081,55721,53,17,0.0005698204040527,0
3232266840,51824,3128,6,0.928685903549194,1
3232268106,50101,443,6,0.23360800743103,0
3232267000,49668,80,6,0.244477033615112,0
3232266771,49986,3128,6,170.027634859085,1
3232266573,52996,443,6,0.268290996551514,0
3232268101,55463,3128,6,0.0087242126464843,1
3232268075,57355,3128,6,0.237060070037842,1
3232268313,52490,80,6,390.59284901619,0
3232266781,50748,3128,6,274.84487080574,1
3232266881,57464,3128,6,61.6123850345612,1
3232266776,1389,3128,6,1.05823302268982,1
3232268291,54897,443,6,0.307060956954956,0
3232268075,58072,53,17,0.0003869533538818,0
3232268360,59188,443,6,117.971946954727,0
3232266763,56885,3128,6,0.726292133331299,1
3232267597,55802,3128,6,0.418452978134155,1
3232268328,37816,443,6,16.5528600215912,0
3232266781,49996,3128,6,14.8164899349213,1
3232266763,64685,3128,6,240.108226060867,1
3232267527,59786,3128,6,216.225579023361,1
3232266761,50893,443,6,0.134487867355347,0
3232267593,53160,2222,6,0.0003328323364257,0
3232267611,52140,53,17,0.000582218170166,0
3232266892,51285,3128,6,0.427922964096069,1
3232266586,50076,3128,6,3.4627149105072,1
3232266892,53679,3128,6,185.833549022675,1
3232266863,53904,3128,6,5.21843385696411,1
3232268370,53316,53,17,0.059553861618042,0
3232267527,61114,3128,6,0.994126796722412,1
3232266846,57184,3128,6,0.0400471687316895,1
3232268314,52804,443,6,4.4822692871e-05,0
3232268309,58500,443,17,9.67564511299133,0
3232267622,49916,3128,6,0.0,1
3232268352,51502,443,6,15.4052951335907,0
3232266829,54413,443,6,5.3514769077301,0
3232266589,138,138,17,1018.01535391808,0
3232267527,50954,3128,6,42.3482511043549,1
